Topics,Alpha,Beta,Coherence_C_V,Coherence_C_U_mass
15,4.6000000000000005,0.9099999999999999,,-1.965222121800134
15,4.9,0.01,0.7875716870817265,-3.4151187216369294
15,4.9,0.31,0.8994837117718095,-1.5562354975047603
15,4.9,0.61,,-2.6057961413151807
15,4.9,0.9099999999999999,,-2.3945814414826363
20,0.1,0.01,0.9473335948741125,-1.1212608495774936
20,0.1,0.31,0.9697183648459138,-0.6470648748901804
20,0.1,0.61,,-2.786557395583333
20,0.1,0.9099999999999999,,-2.2609167341665026
20,0.4,0.01,0.8147041190805059,-3.4541034168212486
20,0.4,0.31,0.9721485900458241,-0.5742357173046231
20,0.4,0.61,,-2.6200162702722705
20,0.4,0.9099999999999999,,-2.65948933675477
20,0.7000000000000001,0.01,0.8664134965213053,-2.38963795420333
20,0.7000000000000001,0.31,0.9129529549063335,-0.9078920447035539
20,0.7000000000000001,0.61,,-1.9553867659862376
20,0.7000000000000001,0.9099999999999999,,-3.1647834228342235
20,1.0000000000000002,0.01,0.8879861090506964,-1.9070551647892215
20,1.0000000000000002,0.31,0.8865177487047076,-2.2075813905180284
20,1.0000000000000002,0.61,,-2.4896912114262877
20,1.0000000000000002,0.9099999999999999,,-2.31608288518002
20,1.3000000000000003,0.01,0.9189110919198746,-1.420702237861446
20,1.3000000000000003,0.31,0.9045741799005624,-1.7150799705520547
20,1.3000000000000003,0.61,,-3.3612038637050548
20,1.3000000000000003,0.9099999999999999,,-1.8474635373674324
20,1.6000000000000003,0.01,0.9363528885778869,-1.1817368618337523
20,1.6000000000000003,0.31,0.840171824255099,-2.543568589732609
20,1.6000000000000003,0.61,,-1.7868032223215724
20,1.6000000000000003,0.9099999999999999,,-2.280960359020873
20,1.9000000000000004,0.01,0.8026169122081669,-3.193576275989164
20,1.9000000000000004,0.31,0.925319333364342,-1.4100605383555294
20,1.9000000000000004,0.61,,-0.7828525701036784
20,1.9000000000000004,0.9099999999999999,,-1.4002551428888894
20,2.2000000000000006,0.01,0.8886850669205673,-1.9922206625123873
20,2.2000000000000006,0.31,0.8915776927316506,-1.981790931945055
20,2.2000000000000006,0.61,,-1.7514704477470762
20,2.2000000000000006,0.9099999999999999,,-2.1217670387272625
20,2.5000000000000004,0.01,0.9609741605060165,-0.7088370264039434
20,2.5000000000000004,0.31,0.9145496812434966,-1.496051533221102
20,2.5000000000000004,0.61,,-2.5054375236002473
20,2.5000000000000004,0.9099999999999999,,-2.380511130417508
20,2.8000000000000003,0.01,0.9414857449700346,-1.0607603242891495
20,2.8000000000000003,0.31,0.8751487647641311,-2.1888522277723146
20,2.8000000000000003,0.61,0.9393571257706512,-1.2088263586340067
20,2.8000000000000003,0.9099999999999999,,-2.8052961687304254
20,3.1000000000000005,0.01,0.8727067101544146,-2.438316567141814
20,3.1000000000000005,0.31,0.8584487489152091,-2.2963857653670154
20,3.1000000000000005,0.61,,-3.1789352878891295
20,3.1000000000000005,0.9099999999999999,,-2.00010707456245
20,3.400000000000001,0.01,0.9272627740012039,-1.3417285749024206
20,3.400000000000001,0.31,0.8729344718814153,-2.4478311834838613
20,3.400000000000001,0.61,,-2.6209533482887313
20,3.400000000000001,0.9099999999999999,,-2.428530914597628
20,3.7000000000000006,0.01,0.815116136927957,-3.1808134689958374
20,3.7000000000000006,0.31,0.8457146189457042,-2.605910491880038
20,3.7000000000000006,0.61,,-1.9702498647683329
20,3.7000000000000006,0.9099999999999999,,-1.6244710693630886
20,4.0,0.01,0.9227924461395762,-1.2741936014230424
20,4.0,0.31,0.9474625354189927,-1.0670914374872937
20,4.0,0.61,,-2.0200257177450895
20,4.0,0.9099999999999999,,-1.740325883005695
20,4.300000000000001,0.01,0.8199871273396745,-3.1865571145898266
20,4.300000000000001,0.31,0.9861551647279704,-0.2464800355657562
20,4.300000000000001,0.61,,-1.9088858560795003
20,4.300000000000001,0.9099999999999999,,-3.139587815281165
20,4.6000000000000005,0.01,0.9102917736426879,-1.6208017178125396
20,4.6000000000000005,0.31,0.9283014730303011,-1.4107108604152818
20,4.6000000000000005,0.61,,-1.724907060128902
20,4.6000000000000005,0.9099999999999999,,-1.8483954703367125
20,4.9,0.01,0.9228513592170327,-1.6046797701769395
20,4.9,0.31,0.8709630268039902,-2.0664400509857237
20,4.9,0.61,,-2.899963914435857
20,4.9,0.9099999999999999,,-2.5505592887325634
25,0.1,0.01,0.9000238821397295,-1.6631825776296163
25,0.1,0.31,0.8609716954051604,-2.3556246248518606
25,0.1,0.61,,-1.2985888185980092
25,0.1,0.9099999999999999,,-2.6182227727896628
25,0.4,0.01,0.9452435342041821,-0.9451981684426773
25,0.4,0.31,,-1.8260455966796294
25,0.4,0.61,,-1.8837996937618573
25,0.4,0.9099999999999999,,-2.6367617602141955
25,0.7000000000000001,0.01,0.9454705009575628,-1.022375184637883
25,0.7000000000000001,0.31,0.9151775405796482,-1.506894156325076
25,0.7000000000000001,0.61,,-1.0675562347482268
25,0.7000000000000001,0.9099999999999999,,-2.408869641848091
25,1.0000000000000002,0.01,0.9325254123934781,-1.08379317367688
25,1.0000000000000002,0.31,0.9083715281471845,-1.9916090827799786
25,1.0000000000000002,0.61,,-2.406569828397478
25,1.0000000000000002,0.9099999999999999,,-2.201632726956122
25,1.3000000000000003,0.01,0.8828361555507125,-2.0367659937173186
25,1.3000000000000003,0.31,,-1.7314664544153928
25,1.3000000000000003,0.61,,-2.4387386333944754
25,1.3000000000000003,0.9099999999999999,,-3.5776225637523296
25,1.6000000000000003,0.01,0.8840798757288522,-2.1007174685708785
25,1.6000000000000003,0.31,0.8107529168917206,-2.9994758152405807
25,1.6000000000000003,0.61,,-1.6934432661212733
25,1.6000000000000003,0.9099999999999999,,-1.910037832110727
25,1.9000000000000004,0.01,0.8993623298579742,-1.865208942049567
25,1.9000000000000004,0.31,,-2.2327669328299744
25,1.9000000000000004,0.61,,-1.4294481890637314
25,1.9000000000000004,0.9099999999999999,,-2.0839864492120386
25,2.2000000000000006,0.01,0.9385850186440708,-1.3482128690614232
25,2.2000000000000006,0.31,,-2.7724198395297206
25,2.2000000000000006,0.61,,-2.4216002055119663
25,2.2000000000000006,0.9099999999999999,,-2.4960322502362917
25,2.5000000000000004,0.01,0.9226500510476776,-1.4504000892281983
25,2.5000000000000004,0.31,0.8938251508887012,-1.792078356714071
25,2.5000000000000004,0.61,,-2.6750256718456957
25,2.5000000000000004,0.9099999999999999,,-2.3898283131112508
25,2.8000000000000003,0.01,0.9401168359154104,-1.046475167873047
25,2.8000000000000003,0.31,0.8666136970391669,-2.353118325706168
